FM_IPS_ME@K,FM_IPS_DCG@K,FM_IPS_CatalogCoverage@K,FM_Naive_ME@K,FM_Naive_DCG@K,FM_Naive_CatalogCoverage@K,MF_IPS_ME@K,MF_IPS_DCG@K,MF_IPS_CatalogCoverage@K,MF_Naive_ME@K,MF_Naive_DCG@K,MF_Naive_CatalogCoverage@K,Random_ME@K,Random_DCG@K,Random_CatalogCoverage@K
0.2658838104972474,0.3080168776371308,0.39,0.27925034373599766,0.3206751054852321,0.38,0.22515710412550125,0.29535864978902954,0.36666666666666664,0.25535978476549975,0.31223628691983124,0.19,0.2740678922632926,0.22362869198312235,0.5433333333333333
0.2737749820222814,0.7979647456600437,0.7033333333333334,0.2793601791619007,0.820619050497295,0.6733333333333333,0.252143496657879,0.7746058693038069,0.63,0.27276360442388176,0.7621998469861443,0.3233333333333333,0.264510030035648,0.5719261083484087,0.9133333333333333
0.2584069075246248,1.0245552376454883,0.8366666666666667,0.27050981040539485,1.0531839756116832,0.8433333333333334,0.25818278535900013,1.031964418986383,0.7966666666666666,0.31198120724722095,1.0267650225158926,0.48333333333333334,0.25698543349123637,0.7821617943310664,0.9866666666666667
0.27359224240631824,1.212203159309868,0.9166666666666666,0.26617572146545415,1.231038155320758,0.92,0.2984158164904908,1.2165576797704831,0.87,0.31316258227713706,1.250743170892701,0.6066666666666667,0.27213050527170857,0.9430465387111199,1.0
0.2785897927707031,1.361437069351061,0.9733333333333334,0.2696904546799169,1.3778360974972728,0.9633333333333334,0.2855663095166084,1.3521792581912215,0.94,0.2784484885693891,1.3863647493134392,0.7266666666666667,0.2756385616789614,1.1051648595946875,1.0
